benchmark	instance	tokens
swebench-verified	sphinx-doc__sphinx-9258	1233440
swebench-verified	sphinx-doc__sphinx-9281	1233747
swebench-verified	sphinx-doc__sphinx-9320	1236034
swebench-verified	sphinx-doc__sphinx-9367	1236220
swebench-verified	sphinx-doc__sphinx-9461	1240868
swebench-verified	sphinx-doc__sphinx-9591	1247750
swebench-verified	sphinx-doc__sphinx-9602	1247784
swebench-verified	sphinx-doc__sphinx-9673	1249614
swebench-verified	sphinx-doc__sphinx-9658	1250542
swebench-verified	sphinx-doc__sphinx-9698	1252121
swebench-verified	sphinx-doc__sphinx-9711	1252254
swebench-verified	sphinx-doc__sphinx-10323	1252334
swebench-verified	sphinx-doc__sphinx-10435	1252834
swebench-verified	sphinx-doc__sphinx-10449	1253819
swebench-verified	sphinx-doc__sphinx-10466	1254862
swebench-verified	sphinx-doc__sphinx-10673	1263024
swebench-verified	sphinx-doc__sphinx-7440	1507604
swebench-verified	sphinx-doc__sphinx-7454	1507651
swebench-verified	sphinx-doc__sphinx-7462	1507901
swebench-verified	sphinx-doc__sphinx-7590	1515505
swebench-verified	sphinx-doc__sphinx-7748	1528440
swebench-verified	sphinx-doc__sphinx-7757	1528440
swebench-verified	sphinx-doc__sphinx-7889	1536859
swebench-verified	sphinx-doc__sphinx-7910	1542361
swebench-verified	sphinx-doc__sphinx-7985	1547347
swebench-verified	sphinx-doc__sphinx-8035	1551640
swebench-verified	sphinx-doc__sphinx-8056	1554523
swebench-verified	sphinx-doc__sphinx-8269	1558175
swebench-verified	sphinx-doc__sphinx-8265	1558483
swebench-verified	sphinx-doc__sphinx-8120	1558657
swebench-verified	sphinx-doc__sphinx-8638	1564551
swebench-verified	sphinx-doc__sphinx-8459	1571381
swebench-verified	sphinx-doc__sphinx-8475	1572967
swebench-verified	sphinx-doc__sphinx-8548	1580503
swebench-verified	sphinx-doc__sphinx-8551	1580968
swebench-verified	sphinx-doc__sphinx-8593	1583111
swebench-verified	sphinx-doc__sphinx-8595	1584555
swebench-verified	sphinx-doc__sphinx-8621	1585565
swebench-verified	sphinx-doc__sphinx-8721	1590789
swebench-verified	matplotlib__matplotlib-20488	2992017
swebench-verified	matplotlib__matplotlib-20676	2995670
swebench-verified	matplotlib__matplotlib-20826	3006662
swebench-verified	matplotlib__matplotlib-20859	3015112
swebench-verified	django__django-7530	3019057
swebench-verified	matplotlib__matplotlib-21568	3042094
swebench-verified	matplotlib__matplotlib-23314	3063386
swebench-verified	matplotlib__matplotlib-23299	3068731
swebench-verified	matplotlib__matplotlib-23412	3069967
swebench-verified	matplotlib__matplotlib-22719	3071679
swebench-verified	matplotlib__matplotlib-23476	3073097
swebench-verified	matplotlib__matplotlib-22871	3076903
swebench-verified	matplotlib__matplotlib-22865	3077114
swebench-verified	matplotlib__matplotlib-24026	3098257
swebench-verified	matplotlib__matplotlib-24149	3102985
swebench-verified	matplotlib__matplotlib-24177	3103388
swebench-verified	matplotlib__matplotlib-24570	3112496
swebench-verified	matplotlib__matplotlib-24627	3112831
swebench-verified	matplotlib__matplotlib-24637	3116676
swebench-verified	matplotlib__matplotlib-24970	3125824
swebench-verified	matplotlib__matplotlib-24870	3126468
swebench-verified	matplotlib__matplotlib-25122	3129731
swebench-verified	matplotlib__matplotlib-25287	3133845
swebench-verified	matplotlib__matplotlib-25311	3134540
swebench-verified	matplotlib__matplotlib-25332	3134841
swebench-verified	django__django-10097	3137099
swebench-verified	matplotlib__matplotlib-25479	3222025
swebench-verified	django__django-10914	3225770
swebench-verified	matplotlib__matplotlib-25775	3226505
swebench-verified	django__django-10973	3226655
swebench-verified	django__django-10999	3228754
swebench-verified	django__django-10880	3233241
swebench-verified	matplotlib__matplotlib-26113	3235440
swebench-verified	matplotlib__matplotlib-25960	3239304
swebench-verified	matplotlib__matplotlib-26208	3240552
swebench-verified	django__django-11099	3241737
swebench-verified	django__django-11133	3242265
swebench-verified	django__django-11149	3242639
swebench-verified	django__django-11119	3242647
swebench-verified	django__django-11163	3243220
swebench-verified	django__django-11138	3244201
swebench-verified	django__django-11179	3244694
swebench-verified	django__django-11095	3245017
swebench-verified	django__django-11211	3245056
swebench-verified	django__django-11206	3245056
swebench-verified	django__django-11087	3245257
swebench-verified	matplotlib__matplotlib-26291	3245912
swebench-verified	django__django-11239	3246062
swebench-verified	django__django-11276	3247715
swebench-verified	matplotlib__matplotlib-26342	3248251
swebench-verified	django__django-11292	3248357
swebench-verified	django__django-11299	3248492
swebench-verified	django__django-11265	3252136
swebench-verified	django__django-11433	3257721
swebench-verified	django__django-11066	3258817
swebench-verified	django__django-11451	3260243
swebench-verified	matplotlib__matplotlib-26466	3261715
swebench-verified	django__django-11490	3261847
swebench-verified	django__django-10554	3261893
swebench-verified	django__django-11477	3268762
swebench-verified	django__django-11532	3271541
swebench-verified	django__django-11333	3271674
swebench-verified	django__django-11551	3274052
swebench-verified	django__django-11555	3282219
swebench-verified	django__django-11603	3288386
swebench-verified	django__django-11400	3293078
swebench-verified	django__django-11728	3305803
swebench-verified	django__django-11734	3306022
swebench-verified	django__django-11740	3306413
swebench-verified	django__django-11790	3310772
swebench-verified	django__django-11749	3310816
swebench-verified	django__django-11820	3314485
swebench-verified	django__django-11815	3314764
swebench-verified	django__django-11848	3314894
swebench-verified	django__django-9296	3315917
swebench-verified	django__django-11880	3316778
swebench-verified	django__django-11885	3316908
swebench-verified	django__django-11141	3317170
swebench-verified	django__django-11951	3321755
swebench-verified	django__django-11964	3324001
swebench-verified	django__django-11999	3329490
swebench-verified	django__django-12039	3332685
swebench-verified	django__django-12050	3333481
swebench-verified	django__django-12125	3339097
swebench-verified	django__django-12143	3339299
swebench-verified	django__django-12155	3340383
swebench-verified	django__django-12193	3343824
swebench-verified	django__django-12209	3348419
swebench-verified	django__django-12262	3349417
swebench-verified	django__django-12276	3350021
swebench-verified	django__django-12663	3350132
swebench-verified	django__django-12304	3351527
swebench-verified	django__django-12273	3352259
swebench-verified	django__django-12325	3353197
swebench-verified	django__django-12713	3355540
swebench-verified	django__django-12406	3358517
swebench-verified	django__django-12419	3358928
swebench-verified	django__django-12741	3360164
swebench-verified	django__django-12774	3438483
swebench-verified	django__django-12708	3438860
swebench-verified	django__django-12858	3442561
swebench-verified	django__django-12308	3454521
swebench-verified	django__django-12965	3459331
swebench-verified	django__django-12754	3459608
swebench-verified	django__django-13012	3462697
swebench-verified	django__django-13023	3468508
swebench-verified	django__django-13028	3470057
swebench-verified	django__django-13033	3470883
swebench-verified	django__django-13089	3481008
swebench-verified	django__django-13109	3484028
swebench-verified	django__django-13112	3485184
swebench-verified	django__django-13121	3485600
swebench-verified	django__django-13128	3486016
swebench-verified	django__django-13158	3488296
swebench-verified	django__django-13195	3493603
swebench-verified	django__django-13212	3497586
swebench-verified	django__django-13279	3510368
swebench-verified	django__django-13297	3513558
swebench-verified	django__django-13346	3517464
swebench-verified	django__django-13344	3517840
swebench-verified	django__django-13363	3519572
swebench-verified	django__django-13343	3520025
swebench-verified	django__django-13401	3522939
swebench-verified	django__django-13406	3524119
swebench-verified	django__django-13417	3525109
swebench-verified	django__django-13410	3526835
swebench-verified	django__django-13449	3531573
swebench-verified	django__django-13512	3538408
swebench-verified	django__django-13516	3538661
swebench-verified	django__django-13513	3538878
swebench-verified	django__django-13568	3543374
swebench-verified	django__django-13551	3544084
swebench-verified	django__django-13569	3547043
swebench-verified	django__django-13590	3547791
swebench-verified	django__django-13315	3548000
swebench-verified	django__django-13658	3552135
swebench-verified	django__django-13670	3553979
swebench-verified	django__django-13741	3560312
swebench-verified	django__django-13786	3565683
swebench-verified	django__django-13794	3565897
swebench-verified	django__django-13810	3566415
swebench-verified	django__django-13807	3566431
swebench-verified	django__django-13820	3567491
swebench-verified	django__django-13821	3567783
swebench-verified	django__django-13837	3568212
swebench-verified	django__django-13809	3569809
swebench-verified	django__django-13925	3571387
swebench-verified	django__django-13933	3572275
swebench-verified	django__django-13964	3573161
swebench-verified	django__django-14017	3574621
swebench-verified	matplotlib__matplotlib-13989	3582090
swebench-verified	django__django-14053	3582659
swebench-verified	django__django-14089	3585379
swebench-verified	django__django-14122	3586956
swebench-verified	django__django-14140	3587313
swebench-verified	matplotlib__matplotlib-14623	3590846
swebench-verified	django__django-14170	3593518
swebench-verified	django__django-14155	3595638
swebench-verified	django__django-14007	3600207
swebench-verified	django__django-14238	3600517
swebench-verified	django__django-14011	3600825
swebench-verified	django__django-14315	3606719
swebench-verified	django__django-14351	3607874
swebench-verified	django__django-14349	3608222
swebench-verified	django__django-14373	3609134
swebench-verified	django__django-14376	3609436
swebench-verified	django__django-14404	3612547
swebench-verified	django__django-14434	3614320
swebench-verified	django__django-14311	3615561
swebench-verified	django__django-14493	3621295
swebench-verified	django__django-14500	3623128
swebench-verified	django__django-14559	3627912
swebench-verified	django__django-14580	3628608
swebench-verified	django__django-14539	3631079
swebench-verified	django__django-14608	3638514
swebench-verified	django__django-14631	3638657
swebench-verified	django__django-14672	3647335
swebench-verified	django__django-14534	3652598
swebench-verified	django__django-14034	3652720
swebench-verified	django__django-14752	3654284
swebench-verified	django__django-14765	3656187
swebench-verified	django__django-14792	3661752
swebench-verified	django__django-14771	3679780
swebench-verified	django__django-14855	3679801
swebench-verified	django__django-14915	3680327
swebench-verified	django__django-14787	3690779
swebench-verified	django__django-14999	3694910
swebench-verified	django__django-15037	3695652
swebench-verified	django__django-15104	3702880
swebench-verified	django__django-15103	3703084
swebench-verified	django__django-15127	3704102
swebench-verified	django__django-15098	3710335
swebench-verified	django__django-15128	3711346
swebench-verified	django__django-15022	3714609
swebench-verified	django__django-15252	3721966
swebench-verified	django__django-15278	3722495
swebench-verified	django__django-15268	3722495
swebench-verified	django__django-15277	3722633
swebench-verified	django__django-15280	3724530
swebench-verified	django__django-15161	3725892
swebench-verified	django__django-15315	3728303
swebench-verified	django__django-15368	3736363
swebench-verified	django__django-14725	3736439
swebench-verified	django__django-15375	3737539
swebench-verified	django__django-15380	3737673
swebench-verified	django__django-15382	3740633
swebench-verified	django__django-15467	3825120
swebench-verified	django__django-15499	3829177
swebench-verified	django__django-15503	3829581
swebench-verified	django__django-15525	3831584
swebench-verified	django__django-15554	3834489
swebench-verified	django__django-15561	3841363
swebench-verified	django__django-15563	3842358
swebench-verified	django__django-15572	3842640
swebench-verified	django__django-15569	3843826
swebench-verified	django__django-15629	3852505
swebench-verified	django__django-15695	3869340
swebench-verified	django__django-15732	3871759
swebench-verified	django__django-15741	3873253
swebench-verified	django__django-15731	3874243
swebench-verified	django__django-15814	3883640
swebench-verified	django__django-15851	3887404
swebench-verified	django__django-15916	3891554
swebench-verified	django__django-15930	3891829
swebench-verified	django__django-15957	3896079
swebench-verified	django__django-15987	3897441
swebench-verified	django__django-15973	3898124
swebench-verified	django__django-16032	3904257
swebench-verified	django__django-16082	3907692
swebench-verified	django__django-16116	3907956
swebench-verified	django__django-16136	3908579
swebench-verified	django__django-16145	3908802
swebench-verified	django__django-16100	3909508
swebench-verified	django__django-15863	3910084
swebench-verified	django__django-16139	3911628
swebench-verified	django__django-16255	3914502
swebench-verified	django__django-16256	3914668
swebench-verified	django__django-16263	3917674
swebench-verified	django__django-16485	3919127
swebench-verified	django__django-16493	3919357
swebench-verified	django__django-16502	3919909
swebench-verified	django__django-16454	3921871
swebench-verified	django__django-16315	3922202
swebench-verified	django__django-16527	3922237
swebench-verified	django__django-16333	3923290
swebench-verified	django__django-16569	3928079
swebench-verified	django__django-16560	3929433
swebench-verified	django__django-16595	3931080
swebench-verified	django__django-16612	3931835
swebench-verified	django__django-16631	3938036
swebench-verified	django__django-16642	3939452
swebench-verified	django__django-16662	3941277
swebench-verified	django__django-16667	3941528
swebench-verified	django__django-16661	3944048
swebench-verified	django__django-16429	3944049
swebench-verified	django__django-16819	3980842
swebench-verified	django__django-16801	3981169
swebench-verified	django__django-16877	3994584
swebench-verified	django__django-16899	3996374
swebench-verified	django__django-16938	3997044
swebench-verified	django__django-16901	3998430
swebench-verified	django__django-17029	4010246
swebench-verified	django__django-16950	4011806
swebench-verified	django__django-17087	4013081
swebench-verified	django__django-17084	4013298
swebench-verified	sympy__sympy-11618	4768056
swebench-verified	sympy__sympy-12096	4817892
swebench-verified	sympy__sympy-12419	4838543
swebench-verified	sympy__sympy-12481	4848076
swebench-verified	sympy__sympy-12489	4862900
swebench-verified	sympy__sympy-13031	4920272
swebench-verified	sympy__sympy-13091	4968528
swebench-verified	sympy__sympy-24443	7253230
swebench-verified	sympy__sympy-24539	7254530
swebench-verified	sympy__sympy-24562	7259062
swebench-verified	sympy__sympy-24661	7277618
swebench-verified	sympy__sympy-13372	7717701
swebench-verified	sympy__sympy-13480	7735404
swebench-verified	sympy__sympy-13551	7741850
swebench-verified	sympy__sympy-13615	7763351
swebench-verified	sympy__sympy-13647	7766079
swebench-verified	sympy__sympy-13757	7769919
swebench-verified	sympy__sympy-13798	7774797
swebench-verified	sympy__sympy-13852	7780750
swebench-verified	sympy__sympy-13878	7794371
swebench-verified	sympy__sympy-13974	7796640
swebench-verified	sympy__sympy-13877	7864077
swebench-verified	sympy__sympy-14248	7891486
swebench-verified	sympy__sympy-14531	7914592
swebench-verified	sympy__sympy-14711	7942122
swebench-verified	sympy__sympy-14976	8051445
swebench-verified	astropy__astropy-14309	8142151
swebench-verified	astropy__astropy-14369	8178930
swebench-verified	astropy__astropy-14995	8183989
swebench-verified	astropy__astropy-14508	8194109
swebench-verified	astropy__astropy-14539	8195045
swebench-verified	astropy__astropy-14365	8196335
swebench-verified	astropy__astropy-14598	8199255
swebench-verified	astropy__astropy-7166	9002611
swebench-verified	astropy__astropy-7336	9058236
swebench-verified	astropy__astropy-7671	9123074
swebench-verified	astropy__astropy-7606	9221486
swebench-verified	astropy__astropy-12907	9229986
swebench-verified	astropy__astropy-13033	9234026
swebench-verified	astropy__astropy-13236	9263361
swebench-verified	astropy__astropy-13453	9297724
swebench-verified	astropy__astropy-13398	9298631
swebench-verified	astropy__astropy-13579	9305919
swebench-verified	sympy__sympy-15017	9312680
swebench-verified	sympy__sympy-15345	9362238
swebench-verified	sympy__sympy-15349	9364176
swebench-verified	sympy__sympy-15599	9412831
swebench-verified	sympy__sympy-15809	9432322
swebench-verified	sympy__sympy-15875	9436548
swebench-verified	sympy__sympy-15976	9447872
swebench-verified	sympy__sympy-16450	9524897
swebench-verified	sympy__sympy-16597	9545791
swebench-verified	sympy__sympy-16766	9563240
swebench-verified	sympy__sympy-16792	9571345
swebench-verified	sympy__sympy-16886	9588727
swebench-verified	sympy__sympy-17139	9655922
swebench-verified	sympy__sympy-17318	9697791
swebench-verified	sympy__sympy-17655	9759734
swebench-verified	sympy__sympy-17630	9763019
swebench-verified	astropy__astropy-8707	9802338
swebench-verified	astropy__astropy-8872	9817619
swebench-verified	sympy__sympy-18763	9825293
swebench-verified	astropy__astropy-14096	9852694
swebench-verified	astropy__astropy-13977	9853055
swebench-verified	astropy__astropy-14182	9855145
swebench-verified	sympy__sympy-18189	9872682
swebench-verified	sympy__sympy-18211	9874954
swebench-verified	sympy__sympy-18199	9878171
swebench-verified	sympy__sympy-18698	9959168
swebench-verified	sympy__sympy-19040	9996780
swebench-verified	sympy__sympy-19346	10063107
swebench-verified	sympy__sympy-19495	10085258
swebench-verified	sympy__sympy-19637	10124002
swebench-verified	sympy__sympy-19783	10206292
swebench-verified	sympy__sympy-19954	10251266
swebench-verified	sympy__sympy-20154	10268737
swebench-verified	sympy__sympy-20428	10283765
swebench-verified	sympy__sympy-20590	10290321
swebench-verified	sympy__sympy-20438	10322707
swebench-verified	sympy__sympy-20801	10359691
swebench-verified	sympy__sympy-20916	10377550
swebench-verified	sympy__sympy-21379	10487688
swebench-verified	sympy__sympy-21596	10524101
swebench-verified	sympy__sympy-21612	10525289
swebench-verified	sympy__sympy-21847	10627119
swebench-verified	sympy__sympy-21930	10667279
swebench-verified	sympy__sympy-22080	10681092
swebench-verified	sympy__sympy-22456	10756895
swebench-verified	sympy__sympy-22714	10838794
swebench-verified	sympy__sympy-22914	10847149
swebench-verified	sympy__sympy-23262	10888393
swebench-verified	sympy__sympy-23413	10900978
swebench-verified	sympy__sympy-23534	10912547
swebench-verified	sympy__sympy-23824	10934232
swebench-verified	sympy__sympy-23950	10948986
swebench-verified	sympy__sympy-24066	11013731
swebench-verified	sympy__sympy-24213	11029705
swebench-verified	scikit-learn__scikit-learn-10297	11216007
swebench-verified	scikit-learn__scikit-learn-10908	11238461
swebench-verified	scikit-learn__scikit-learn-10844	11239735
swebench-verified	scikit-learn__scikit-learn-11310	11306694
swebench-verified	scikit-learn__scikit-learn-11578	11884257
swebench-verified	scikit-learn__scikit-learn-12585	12102008
swebench-verified	scikit-learn__scikit-learn-12973	12114707
swebench-verified	scikit-learn__scikit-learn-13124	12578622
swebench-verified	scikit-learn__scikit-learn-13135	12581160
swebench-verified	scikit-learn__scikit-learn-13142	12581256
swebench-verified	scikit-learn__scikit-learn-13328	13858804
swebench-verified	scikit-learn__scikit-learn-13439	13868518
swebench-verified	scikit-learn__scikit-learn-13496	14054781
swebench-verified	scikit-learn__scikit-learn-14087	16113860
swebench-verified	scikit-learn__scikit-learn-14053	16115851
swebench-verified	scikit-learn__scikit-learn-14141	16118158
swebench-verified	scikit-learn__scikit-learn-12682	16123665
swebench-verified	scikit-learn__scikit-learn-13779	16132621
swebench-verified	scikit-learn__scikit-learn-9288	16153485
swebench-verified	scikit-learn__scikit-learn-14629	16158909
swebench-verified	scikit-learn__scikit-learn-14496	16181300
swebench-verified	scikit-learn__scikit-learn-14710	16272975
swebench-verified	scikit-learn__scikit-learn-14983	16292673
swebench-verified	scikit-learn__scikit-learn-15100	16372515
swebench-verified	scikit-learn__scikit-learn-14894	16565628
swebench-verified	scikit-learn__scikit-learn-25232	31992622
swebench-verified	scikit-learn__scikit-learn-25747	32062645
swebench-verified	scikit-learn__scikit-learn-25102	32401051
swebench-verified	scikit-learn__scikit-learn-25931	33613955
swebench-verified	scikit-learn__scikit-learn-25973	33619099
swebench-verified	scikit-learn__scikit-learn-26194	33788567
swebench-verified	scikit-learn__scikit-learn-26323	35621262
