agent,benchmark,instance_id,resolved,source_code_files,source_code_tokens,write_recall,write_precision,read_recall,read_precision,total_operations,total_reads,total_writes,unique_files_read,unique_files_written,unique_dirs,max_depth,first_write_at,reread_rate,churn_rate,conversion_rate,first_correct_read,first_correct_write,subagent_count
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-141619,False,27051,44742685,0.5,0.25,0.5,0.0312,191,77,5,32,4,40,13,163,0.5844,0.2,1.0,74,164,1
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-141811,False,27023,44703139,0.5,0.3333,0.5,0.0769,37,20,6,13,3,17,8,17,0.35,0.5,1.0,4,17,0
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-141815,False,26987,44609887,1.0,0.5,1.0,0.25,12,5,4,4,2,24,12,6,0.2,0.5,1.0,0,6,0
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-141973,False,27011,44672219,1.0,0.3333,1.0,0.3333,15,5,5,3,3,29,8,1,0.4,0.4,1.0,0,1,0
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-142117,False,27206,44945391,0.5,0.25,0.5,0.027,120,63,9,37,4,81,14,99,0.4127,0.5556,1.0,5,99,2
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-142328,True,27114,44805256,1.0,0.5,1.0,0.0909,47,26,5,11,2,26,11,4,0.5769,0.6,1.0,0,4,0
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-142330,True,27133,44844866,1.0,0.5,1.0,0.1,53,25,5,10,2,46,12,11,0.6,0.6,1.0,0,11,0
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-142386,False,27492,45427090,1.0,0.25,1.0,0.0714,106,54,5,14,4,37,14,51,0.7407,0.2,1.0,3,70,1
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-142401,False,27530,45489284,0.3333,0.3333,1.0,0.1875,90,45,10,16,3,51,12,66,0.6444,0.7,0.3333,7,66,1
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-142450,False,27465,45388004,0.6667,0.5,0.6667,0.1667,115,62,9,12,4,51,12,86,0.8065,0.5556,1.0,7,87,1
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-142489,False,27541,45533533,0.25,0.25,1.0,0.2353,97,51,8,17,4,19,13,79,0.6667,0.5,0.25,2,79,1
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-142752,True,27434,45342736,1.0,0.5,1.0,0.1111,61,35,3,9,2,42,14,37,0.7429,0.3333,1.0,6,37,1
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-142763,True,28153,46577214,0.5,0.5,0.5,0.125,30,14,4,8,2,26,14,23,0.4286,0.5,1.0,4,23,0
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-142882,True,27529,45481852,1.0,0.5,1.0,0.0909,97,52,6,22,4,34,13,47,0.5769,0.3333,1.0,4,47,1
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-142937,False,27529,45484574,0.5,0.3333,0.5,0.5,12,2,4,2,3,17,10,5,0.0,0.25,1.0,1,5,0
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-143153,True,27760,45893831,0.5,0.5,0.5,0.1,37,15,5,10,2,33,14,28,0.3333,0.6,1.0,0,28,1
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-143155,True,27728,45809271,1.0,0.5,1.0,0.2,28,13,4,5,2,24,13,18,0.6154,0.5,1.0,2,18,0
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-143241,True,27791,45942130,1.0,0.5,1.0,0.3333,44,26,5,3,2,17,9,32,0.8846,0.6,1.0,6,32,1
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-143249,False,27796,45950287,0.5,0.5,1.0,0.1,146,71,3,20,2,49,13,115,0.7183,0.3333,0.5,18,115,1
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-143408,False,27802,45938148,0.0,0.0,0.0,0.0,71,35,1,12,1,43,15,68,0.6571,0.0,0.0,,,1
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-143463,True,27806,45951807,0.5,0.5,0.5,0.0435,107,57,3,23,2,49,13,100,0.5965,0.3333,1.0,7,100,1
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-143489,False,27874,46042596,1.0,0.3333,1.0,0.1,62,32,8,10,3,30,13,19,0.6875,0.625,1.0,10,19,0
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-143533,False,27850,45983853,1.0,0.25,1.0,0.0714,95,48,5,14,4,45,10,61,0.7083,0.2,1.0,3,76,1
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-143668,True,28050,46319491,0.5,0.5,0.5,0.2,17,7,5,5,2,31,13,11,0.2857,0.6,1.0,2,11,0
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-143710,True,27948,46144862,1.0,1.0,1.0,1.0,3,1,1,1,1,11,11,1,0.0,0.0,1.0,0,1,0
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-143810,False,28234,46735004,0.0,0.0,1.0,0.1111,103,58,5,18,2,34,13,66,0.6897,0.6,0.0,6,,1
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-143893,False,28075,46396252,0.5,0.5,0.5,0.0588,139,72,7,17,2,36,13,97,0.7639,0.7143,1.0,6,97,1
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-143938,True,28159,46595386,0.5,0.5,0.5,0.1667,27,12,4,6,2,53,13,17,0.5,0.5,1.0,2,17,0
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-144029,True,28154,46578913,0.5,0.5,0.5,0.0556,112,58,4,18,2,32,12,54,0.6897,0.5,1.0,0,62,0
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-144031,True,28151,46562706,0.5,0.5,0.5,0.1,51,26,4,10,2,23,13,22,0.6154,0.5,1.0,4,22,0
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-144040,False,28151,46564113,0.6667,0.2222,0.6667,0.0952,201,103,18,21,9,107,15,138,0.7961,0.5,1.0,7,140,1
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-144183,True,28177,46659077,0.5,0.5,0.5,0.05,183,98,3,20,2,32,12,165,0.7959,0.3333,1.0,47,165,2
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-144308,True,28202,46679832,1.0,0.5,1.0,0.1111,36,13,2,9,2,43,12,24,0.3077,0.0,1.0,10,24,0
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-144388,False,28241,46757697,0.5,0.3333,0.5,0.1667,28,13,4,6,3,35,15,18,0.5385,0.25,1.0,3,18,0
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-144545,True,28300,46888925,1.0,0.5,1.0,0.3333,13,7,2,3,2,30,12,6,0.5714,0.0,1.0,1,6,0
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-144588,True,28303,46896810,1.0,0.5,1.0,0.125,35,15,8,8,2,37,12,14,0.4667,0.75,1.0,12,16,0
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,huggingface__transformers-42136,True,4101,15000366,1.0,0.5,1.0,0.2,105,60,21,10,4,11,4,24,0.8333,0.8095,1.0,2,24,0
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,huggingface__transformers-43047,True,4238,15123096,0.6667,0.6667,1.0,0.6,60,33,7,10,6,12,4,42,0.697,0.1429,0.6667,3,42,0
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,huggingface__transformers-43227,False,3871,14817360,0.5,1.0,0.6667,0.5714,47,23,12,7,3,6,4,26,0.6957,0.75,0.75,3,26,0
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,huggingface__transformers-43495,True,3914,15034509,1.0,0.875,1.0,0.4375,50,21,8,16,8,10,4,28,0.2381,0.0,1.0,18,28,0
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,huggingface__transformers-43523,False,3878,14885850,0.5,1.0,0.5,1.0,12,6,1,1,1,2,2,9,0.8333,0.0,1.0,3,9,0
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,huggingface__transformers-43721,False,3959,15142513,0.5,0.5,0.5,0.5,11,3,2,2,2,6,3,3,0.3333,0.0,1.0,2,3,0
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,huggingface__transformers-43877,True,3944,15087729,0.3333,0.5,0.6667,0.3333,22,9,2,6,2,5,4,17,0.3333,0.0,0.5,8,17,0
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,huggingface__transformers-43917,False,3958,15146516,0.5,0.6667,0.25,0.2,53,27,6,5,3,3,3,42,0.8148,0.5,1.0,4,42,0
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,huggingface__transformers-43928,False,3947,15097967,1.0,1.0,1.0,0.25,14,6,2,4,1,6,4,8,0.3333,0.5,1.0,0,8,0
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,huggingface__transformers-44080,True,3975,15207090,1.0,1.0,1.0,1.0,16,6,6,1,1,3,3,6,0.8333,0.8333,1.0,0,6,0
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,huggingface__transformers-44081,True,3958,15148419,0.6,0.75,1.0,0.625,77,39,5,8,4,6,4,61,0.7949,0.2,0.6,1,61,0
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,huggingface__transformers-44146,True,4182,14891083,1.0,0.5,1.0,0.3333,23,11,2,3,2,4,2,11,0.7273,0.0,1.0,9,11,0
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,huggingface__transformers-44397,True,4042,15445297,0.5,0.5,0.5,0.5,25,13,5,2,2,5,4,15,0.8462,0.6,1.0,2,15,0
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,huggingface__transformers-44406,True,4029,15386893,0.5,1.0,0.75,0.375,77,44,4,8,2,8,4,68,0.8182,0.5,0.6667,4,68,1
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,huggingface__transformers-44474,True,4044,15043373,0.2,1.0,0.8,0.3636,75,37,2,11,1,9,4,69,0.7027,0.5,0.25,8,69,0
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,huggingface__transformers-44487,False,4101,14993869,0.75,1.0,0.75,0.375,86,51,8,8,3,4,3,67,0.8431,0.625,1.0,2,67,1
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,huggingface__transformers-44570,True,4172,14833286,1.0,1.0,1.0,0.2,31,14,3,5,1,6,4,21,0.6429,0.6667,1.0,3,21,0
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,huggingface__transformers-44899,True,4173,14833268,1.0,1.0,1.0,0.5,15,10,1,2,1,4,4,8,0.8,0.0,1.0,4,8,0
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,huggingface__transformers-45019,True,4181,14869164,1.0,1.0,0.6667,0.6667,11,3,3,3,3,6,4,8,0.0,0.0,1.0,1,8,0
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,huggingface__transformers-45348,True,4240,15131264,0.5,1.0,0.5,0.5,15,8,3,4,2,4,3,11,0.5,0.3333,1.0,4,11,0
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,microsoft__vscode-288335,False,12114,130551466,0.5714,0.6667,0.7143,0.4167,73,42,8,12,6,23,9,29,0.7143,0.25,0.8,2,29,0
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,microsoft__vscode-292378,False,12276,133156826,1.0,1.0,1.0,0.875,23,12,8,8,7,16,9,14,0.3333,0.125,1.0,2,14,0
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,microsoft__vscode-295139,False,12405,135314888,0.2857,0.5,0.4286,0.15,108,49,13,20,4,28,9,68,0.5918,0.6923,0.6667,25,68,0
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,microsoft__vscode-297020,False,12665,138431992,0.8571,1.0,1.0,0.5,64,34,11,14,6,19,8,40,0.5882,0.4545,0.8571,11,40,0
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,microsoft__vscode-298772,False,11982,79658974,0.2,0.2,0.4,0.2,59,32,8,10,5,14,8,39,0.6875,0.375,0.5,3,44,0
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,microsoft__vscode-298829,False,12831,140333213,0.1429,1.0,0.2857,0.1176,72,46,2,17,1,20,9,59,0.6304,0.5,0.5,7,59,0
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,microsoft__vscode-300237,False,12898,141957316,0.8,1.0,0.8,0.3333,74,42,7,12,4,20,7,53,0.7143,0.4286,1.0,5,53,0
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,microsoft__vscode-301740,False,13047,143631669,0.8571,0.75,1.0,0.5385,113,59,22,13,8,25,8,46,0.7797,0.6364,0.8571,3,46,0
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,microsoft__vscode-302160,False,12283,82129023,0.7143,1.0,0.8571,0.6,68,34,11,10,5,22,8,36,0.7059,0.5455,0.8333,2,36,0
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,microsoft__vscode-302633,False,12343,82549421,0.2,1.0,0.4,0.1667,40,25,1,12,1,13,6,38,0.52,0.0,0.5,9,38,0
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,microsoft__vscode-304281,False,12416,83357047,0.4,1.0,0.4,0.5,32,17,6,4,2,7,7,22,0.7647,0.6667,1.0,2,22,0
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,microsoft__vscode-305782,False,13360,147878413,1.0,1.0,1.0,0.8571,53,24,13,7,6,14,7,11,0.7083,0.5385,1.0,5,11,0
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,microsoft__vscode-305859,False,13364,147931496,0.1667,1.0,0.3333,0.1053,103,58,4,19,1,25,8,88,0.6724,0.75,0.5,44,88,0
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,microsoft__vscode-306139,False,13382,148193642,1.0,1.0,1.0,0.5455,107,56,20,11,6,22,6,53,0.8036,0.7,1.0,7,53,1
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,microsoft__vscode-306184,False,13382,148161064,0.6667,1.0,0.6667,0.5,34,18,6,8,4,15,8,19,0.5556,0.3333,1.0,4,19,0
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,microsoft__vscode-308000,False,12656,85482759,0.3333,1.0,0.3333,0.25,59,38,5,8,2,21,9,47,0.7895,0.6,1.0,4,47,0
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-135899,False,26817,44266777,0.0,0.0,0.0,0.0,27,15,2,7,2,16,9,17,0.5333,0.0,0.0,,,0
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-137744,False,26691,43858044,0.25,0.25,0.5,0.2,37,19,8,10,4,49,14,5,0.4737,0.5,0.5,0,5,0
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-139873,False,26754,44029119,0.5556,0.5556,0.8889,0.32,126,67,13,25,9,36,12,92,0.6269,0.3077,0.625,8,96,1
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-140027,True,26797,44221907,0.5,0.5,0.5,0.0132,334,171,4,76,2,69,14,306,0.5556,0.5,0.0,333,306,1
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-140094,False,26720,43914619,0.3333,0.2,0.3333,0.0588,181,89,13,17,5,28,9,111,0.809,0.6154,1.0,6,111,1
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-140099,True,26691,43858369,0.5,0.75,0.6667,0.1818,135,71,10,22,4,36,14,80,0.6901,0.6,0.75,13,80,1
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-140138,True,26699,43872042,1.0,1.0,1.0,1.0,12,5,1,1,1,11,11,9,0.8,0.0,1.0,0,9,0
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-140217,False,27951,46158417,0.6667,0.8,0.6667,0.2857,165,75,13,14,5,31,13,63,0.8133,0.6154,1.0,5,63,1
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-140227,True,26713,43902307,1.0,0.3333,1.0,0.0526,92,40,4,19,3,66,15,85,0.525,0.25,1.0,75,85,1
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-140394,False,26745,43965258,1.0,0.6667,1.0,0.4,81,43,12,5,3,14,8,47,0.8837,0.75,1.0,3,47,0
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-140594,True,26766,44089886,0.0769,0.3333,0.5385,0.35,105,61,7,20,3,40,14,70,0.6721,0.5714,0.1429,7,70,1
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-140982,False,27797,45917188,1.0,0.2,1.0,0.0625,92,46,18,16,5,25,13,51,0.6522,0.7222,1.0,8,54,1
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-141157,False,26820,44279912,0.5,0.3333,0.5,0.0714,66,41,4,14,3,35,14,58,0.6585,0.25,1.0,7,58,1
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-141196,False,26855,44354604,0.5,0.5,0.5,0.0714,59,31,6,14,2,31,13,46,0.5484,0.6667,1.0,0,46,0
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-141242,False,26875,44413358,0.0,0.0,0.5,0.0172,242,121,5,58,2,98,15,221,0.5207,0.6,0.0,22,,2
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-141371,False,26868,44390078,0.5,0.25,1.0,0.2222,126,70,5,9,4,21,12,61,0.8714,0.2,0.5,3,61,0
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-141479,True,26875,44413580,1.0,1.0,1.0,0.1111,29,14,2,9,1,34,11,17,0.3571,0.5,1.0,4,17,0
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-141482,False,26981,44588171,0.0,0.0,0.0,0.0,136,63,6,22,2,57,13,102,0.6508,0.6667,0.0,,,1
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-141503,False,26987,44601951,0.5,0.5,0.5,0.25,32,13,2,4,2,20,12,6,0.6923,0.0,1.0,2,6,0
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-141519,True,26897,44450565,0.5,1.0,1.0,0.5,12,7,1,4,1,22,12,2,0.4286,0.0,0.5,0,2,0
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-141523,False,26977,44576960,0.3333,0.5,0.3333,0.1,91,41,5,10,2,25,13,24,0.7561,0.6,1.0,0,24,0
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-141592,False,26987,44611136,1.0,0.25,1.0,0.1111,77,35,14,9,4,30,13,27,0.7429,0.7143,1.0,4,47,0
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-141619,False,27051,44742685,0.5,0.5,0.5,0.0303,200,75,6,33,2,52,13,173,0.56,0.6667,1.0,92,173,1
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-141811,False,27023,44703139,0.5,0.5,0.5,0.1,30,14,5,10,2,15,8,19,0.2857,0.6,1.0,4,19,0
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-141815,False,26987,44609887,1.0,0.5,1.0,0.3333,8,4,3,3,2,24,12,4,0.25,0.3333,1.0,0,4,0
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-141973,False,27011,44672219,1.0,0.5,1.0,0.5,24,10,7,2,2,14,8,5,0.8,0.7143,1.0,1,5,0
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-142117,False,27206,44945391,0.5,0.3333,0.5,0.0476,77,36,9,21,3,62,14,45,0.4167,0.6667,1.0,3,45,0
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-142328,True,27114,44805256,1.0,0.5,1.0,0.1111,91,45,3,9,2,31,12,4,0.8,0.3333,1.0,0,4,1
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-142330,False,27133,44844866,1.0,1.0,1.0,0.5,11,4,1,2,1,17,11,1,0.5,0.0,1.0,0,1,0
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-142386,False,27492,45427090,1.0,0.3333,1.0,0.125,75,37,6,8,3,36,14,50,0.7838,0.5,1.0,5,50,1
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-142401,False,27530,45489284,1.0,0.5,1.0,0.1667,73,39,12,18,6,58,12,51,0.5385,0.5,1.0,6,51,1
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-142450,False,27465,45388004,0.6667,0.6667,0.6667,0.1,146,85,8,20,3,60,13,44,0.7647,0.625,1.0,12,108,1
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-142489,True,27541,45533533,0.5,1.0,1.0,0.1739,95,55,6,23,2,37,13,74,0.5818,0.6667,0.5,7,74,1
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-142752,False,27434,45342736,1.0,0.5,1.0,0.3333,20,10,4,3,2,27,11,9,0.7,0.5,1.0,2,9,0
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-142763,True,28153,46577214,1.0,0.4,1.0,0.1333,78,37,10,15,5,37,14,20,0.5946,0.5,1.0,2,20,0
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-142882,True,27529,45481852,0.5,0.3333,0.5,0.0385,66,35,3,26,3,43,15,57,0.2571,0.0,1.0,1,57,1
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-142937,False,27529,45484574,0.5,0.5,0.5,0.5,9,2,4,2,2,16,10,3,0.0,0.5,1.0,1,3,0
github-copilot-cli-claude-opus-4.6,swebench-xl-v1,elastic__elasticsearch-143153,True,27760,45893831,0.5,0.3333,0.5,0.0909,37,15,3,11,3,42,14,30,0.2667,0.0,1.0,5,30,1
